VOLCANO	LOCATION	ELEV_M	LAT	LONG	ERUPTED	VNUM
Dalaffilla	Ethiopia	613	13.79	40.55	Holocene	0201-07=
Erta Ale	Ethiopia	613	13.6	40.67	AD 1900-2005	0201-08=
Hayli Gubbi	Ethiopia	521	13.5	40.72	Holocene	0201-091
Ale Bagu	Ethiopia	1031	13.52	40.63	Holocene	0201-09=
Nabro	Ethiopia	2218	13.37	41.7	Uncertain	0201-101
Mallahle	Ethiopia	1875	13.27	41.65	Uncertain	0201-102
Sorkale	Ethiopia	1611	13.18	41.73	Uncertain	0201-103
Asavyo	Ethiopia	1200	13.07	41.6	Holocene	0201-104
Mat Ala	Ethiopia	523	13.1	41.15	Holocene	0201-105
Tat Ali	Ethiopia	700	13.28	41.07	Holocene	0201-106
Borawli	Ethiopia	812	13.3	40.98	Holocene	0201-107
Dubbi	Ethiopia	1625	13.58	41.81	AD 0-1899	0201-10=
Ma Alalta	Ethiopia	1815	13.02	40.2	Holocene	0201-111
Alayta	Ethiopia	1501	12.88	40.57	AD 1900-2005	0201-112
Dabbahu	Ethiopia	1442	12.6	40.48	Holocene	0201-113
Dabbayra	Ethiopia	1302	12.38	40.07	Holocene	0201-114
Manda Hararo	Ethiopia	600	12.17	40.82	Holocene	0201-115
Groppo	Ethiopia	930	11.73	40.25	Holocene	0201-116
Afderà	Ethiopia	1295	13.08	40.85	Uncertain	0201-11=
Borawli	Ethiopia	875	11.63	41.45	Holocene	0201-121
Manda-Inakir	Ethiopia	600	12.38	42.2	AD 1900-2005	0201-122
Mousa Alli	Ethiopia	2028	12.47	42.4	Holocene	0201-123
Gufa	Ethiopia	600	12.55	42.53	Holocene	0201-124
Assab Volc Field	Ethiopia	987	12.95	42.43	Holocene	0201-125
Ardoukôba	Djibouti	298	11.58	42.47	AD 1900-2005	0201-126
Tiho	Djibouti	500	11.53	42.05	Uncertain	0201-127
Kurub	Ethiopia	625	11.88	41.21	Holocene	0201-12=
Garbes	Djibouti	1000	11.42	42.2	Uncertain	0201-13=
Dama Ali	Ethiopia	1068	11.28	41.63	AD 0-1899	0201-141
Asmara	Ethiopia	500	11.27	41.52	Holocene	0201-142
Boina	Djibouti	300	11.25	41.83	Uncertain	0201-14=
Yangudi	Ethiopia	1383	10.58	41.04	Holocene	0201-151
Gabillema	Ethiopia	1459	11.08	41.27	Holocene	0201-15=
Ayelu	Ethiopia	2145	10.08	40.7	Holocene	0201-16=
Hertali	Ethiopia	900	9.78	40.33	Holocene	0201-171
Liado Hayk	Ethiopia	878	9.57	40.28	Uncertain	0201-172
Adwa	Ethiopia	1733	10.07	40.84	Holocene	0201-17=
Dofen	Ethiopia	1151	9.35	40.13	Holocene	0201-18=
Beru	Ethiopia	1100	8.95	39.75	Holocene	0201-191
Fentale	Ethiopia	2007	8.98	39.93	AD 0-1899	0201-19=
Kone	Ethiopia	1619	8.8	39.69	AD 0-1899	0201-20-
Unnamed	Ethiopia	1300	8.7	39.63	Holocene	0201-201
Boset-Bericha	Ethiopia	2447	8.56	39.48	Holocene	0201-21-
Bishoftu Volc Field	Ethiopia	1850	8.78	38.98	Holocene	0201-22-
Unnamed	Ethiopia	1800	8.62	38.95	Holocene	0201-221
Sodore	Ethiopia	1765	8.43	39.35	Holocene	0201-222
Gedamsa Caldera	Ethiopia	1984	8.35	39.18	Holocene	0201-23-
Bora-Bericcio	Ethiopia	2285	8.27	39.03	Holocene	0201-24-
Tullu Moje	Ethiopia	2349	8.16	39.13	AD 1900-2005	0201-25-
Unnamed	Ethiopia	1800	8.07	39.07	Holocene	0201-251
East Zway	Ethiopia	1889	7.95	38.93	Holocene	0201-252
Butajiri-Silti Field	Ethiopia	2281	8.05	38.35	Holocene	0201-26-
Alutu	Ethiopia	2335	7.77	38.78	Holocene	0201-27-
O'a Caldera	Ethiopia	2075	7.47	38.58	Holocene	0201-28-
Corbetti Caldera	Ethiopia	2320	7.18	38.43	Holocene	0201-29-
Bilate River Field	Ethiopia	1700	7.07	38.1	Holocene	0201-291
Tepi	Ethiopia	2728	7.42	35.43	Holocene	0201-292
Hobicha Caldera	Ethiopia	1800	6.78	37.83	Uncertain	0201-293
Chiracha	Ethiopia	1650	6.65	38.12	Uncertain	0201-30-
Tosa Sucha	Ethiopia	1650	5.92	37.57	Holocene	0201-31-
Unnamed	Ethiopia	1200	5.65	37.67	Holocene	0201-311
Korath Range	Ethiopia	912	5.1	35.88	Uncertain	0201-32-
Mega Basalt Field	Ethiopia	1067	4.08	37.42	Holocene	0201-33-
North Island	Africa-E	520	4.07	36.05	Holocene	0202-001
Central Island	Africa-E	550	3.5	36.04	Holocene	0202-01=
Marsabit	Africa-E	1707	2.32	37.97	Uncertain	0202-021
South Island	Africa-E	800	2.63	36.6	AD 0-1899	0202-02=
Barrier, The	Africa-E	1032	2.32	36.57	AD 1900-2005	0202-03=
Namarunu	Africa-E	817	1.9	36.27	Holocene	0202-04-
Segererua Plateau	Africa-E	699	1.57	37.9	Holocene	0202-05-
Emuruangogolak	Africa-E	1328	1.5	36.33	AD 1900-2005	0202-051
Silali	Africa-E	1528	1.15	36.23	Holocene	0202-052
Paka	Africa-E	1697	0.92	36.18	Holocene	0202-053
Korosi	Africa-E	1446	0.77	36.12	Holocene	0202-054
Ol Kokwe	Africa-E	1130	0.62	36.08	Holocene	0202-055
Nyambeni Hills	Africa-E	750	0.23	37.87	Holocene	0202-056
Menengai	Africa-E	2278	-0.2	36.07	Holocene	0202-06=
Elmenteita Badlands	Africa-E	2126	-0.52	36.27	Holocene	0202-071
Homa Mountain	Africa-E	1751	-0.38	34.5	Holocene	0202-07=
Eburru, Ol Doinyo	Africa-E	2856	-0.63	36.23	Holocene	0202-08=
Olkaria	Africa-E	2434	-0.9	36.29	AD 0-1899	0202-09=
Longonot	Africa-E	2776	-0.92	36.45	AD 0-1899	0202-10=
Suswa	Africa-E	2356	-1.18	36.35	Holocene	0202-11=
Lengai, Ol Doinyo	Africa-E	2890	-2.75	35.9	AD 1900-2005	0202-12=
Chyulu Hills	Africa-E	2188	-2.68	37.88	AD 0-1899	0202-13=
Kilimanjaro	Africa-E	5895	-3.07	37.35	Holocene	0202-15=
Igwisi Hills	Africa-E	0	-4.87	31.92	Holocene	0202-161
Unnamed	Africa-E	0	-8.63	33.57	Holocene	0202-162
SW Usangu Basin	Africa-E	2179	-8.75	33.8	Holocene	0202-163
Ngozi	Africa-E	2622	-8.97	33.57	Holocene	0202-164
Izumbwe-Mpoli	Africa-E	1568	-8.93	33.4	Holocene	0202-165
Rungwe	Africa-E	2961	-9.13	33.67	Holocene	0202-166
Meru	Africa-E	4565	-3.25	36.75	AD 1900-2005	0202-16=
Kieyo	Africa-E	2175	-9.23	33.78	AD 0-1899	0202-17=
Fort Portal Field	Africa-C	1524	0.7	30.25	Holocene	0203-001
Kyatwa Volc Field	Africa-C	1430	0.45	30.25	Uncertain	0203-002
Katwe-Kikorongo Field	Africa-C	1067	-0.08	29.92	Holocene	0203-003
Bunyaruguru Field	Africa-C	1554	-0.2	30.08	Holocene	0203-004
Katunga	Africa-C	1707	-0.47	30.18	Holocene	0203-005
May-ya-moto	Africa-C	950	-0.93	29.33	Uncertain	0203-01=
Nyamuragira	Africa-C	3058	-1.41	29.2	AD 1900-2005	0203-02=
Nyiragongo	Africa-C	3470	-1.52	29.25	AD 1900-2005	0203-03=
Karisimbi	Africa-C	4507	-1.5	29.45	Holocene	0203-04-
Visoke	Africa-C	3711	-1.47	29.49	AD 1900-2005	0203-05-
Muhavura	Africa-C	4127	-1.38	29.67	Holocene	0203-06-
Bufumbira	Africa-C	2440	-1.23	29.72	Uncertain	0203-07-
Tshibinda	Africa-C	1460	-2.32	28.75	Holocene	0203-08-
Sao Tome	Africa-W	2024	0.32	6.72	Uncertain	0204-001
San Carlos	Africa-W	2260	3.35	8.52	Holocene	0204-002
San Joaquin	Africa-W	2009	3.35	8.63	Holocene	0204-003
Santa Isabel	Africa-W	2972	3.58	8.75	AD 1900-2005	0204-004
Cameroon	Africa-W	4095	4.2	9.17	AD 1900-2005	0204-01=
Manengouba	Africa-W	2411	5.03	9.83	Holocene	0204-02-
Oku Volc Field	Africa-W	3011	6.25	10.5	Uncertain	0204-03-
Ngaoundere Plateau	Africa-W	0	7.25	13.67	Uncertain	0204-04-
Biu Plateau	Africa-W	0	10.75	12	Uncertain	0204-05-
Haruj	Africa-N	1200	27.25	17.5	Holocene	0205-00-
Tôh, Tarso	Africa-N	2000	21.33	16.33	Holocene	0205-001
Toussidé, Tarso	Africa-N	3265	21.03	16.45	Holocene	0205-01=
Koussi, Emi	Africa-N	3415	19.8	18.53	Holocene	0205-021
Voon, Tarso	Africa-N	3100	20.92	17.28	Holocene	0205-02=
Marra, Jebel	Africa-N	3042	12.95	24.27	Holocene	0205-03-
Kutum Volc Field	Africa-N	0	14.5	25.8	Uncertain	0205-04-
Meidob Volc Field	Africa-N	2000	15.32	26.47	Holocene	0205-05-
Bayuda Volc Field	Africa-N	670	18.33	32.75	AD 0-1899	0205-06-
Umm Arafieb, Jebel	Africa-N	0	18.17	33.83	Uncertain	0205-07-
Sharat Kovakab	Syria	534	36.53	40.85	Holocene	0300-01-
Unnamed	Syria	0	36.67	37	AD 0-1899	0300-02-
Unnamed	Syria	945	33.31	36.93	Holocene	0300-03-
Unnamed	Syria	1197	33.15	36.26	Holocene	0300-04-
Es Safa	Syria	979	33.08	37.15	AD 0-1899	0300-05-
Unnamed	Syria	1436	32.66	36.43	Holocene	0300-06-
Rahah, Harrat ar	Arabia-W	1660	27.8	36.17	Holocene	0301-01=
'Uwayrid, Harrat	Arabia-W	1900	27.08	37.25	AD 0-1899	0301-02=
Lunayyir, Harrat	Arabia-W	1370	25.17	37.75	AD 0-1899	0301-04-
Ithnayn, Harrat	Arabia-W	1625	26.58	40.2	Holocene	0301-05=
Khaybar, Harrat	Arabia-W	2093	25	39.92	AD 0-1899	0301-06=
Kishb, Harrat	Arabia-W	1475	22.8	41.38	Holocene	0301-071
Rahat, Harrat	Arabia-W	1744	23.08	39.78	AD 0-1899	0301-07=
Yar, Jabal	Arabia-W	305	17.05	42.83	AD 0-1899	0301-08-
Arhab, Harra of	Arabia-S	3100	15.63	44.08	AD 0-1899	0301-09-
Marha, Jabal el-	Arabia-S	2650	15.28	44.22	Holocene	0301-10-
Haylan, Jabal	Arabia-S	1550	15.43	44.78	Holocene	0301-11-
Dhamar, Harras of	Arabia-S	3500	14.57	44.67	AD 1900-2005	0301-12-
Hamman Demt, Jabal	Arabia-S	1500	14.05	44.75	Holocene	0301-13-
Unnamed	Arabia-S	0	12.25	45	Uncertain	0301-15-
Sawâd, Harra es-	Arabia-S	1737	13.58	46.12	AD 0-1899	0301-16-
Bal Haf, Harra of	Arabia-S	233	14.05	48.33	Holocene	0301-17-
Bir Borhut	Arabia-S	0	15.55	50.63	Uncertain	0301-18-
Unnamed	Iran	0	39.33	45.17	Holocene	0302-00-
Sahand	Iran	3707	37.75	46.43	Holocene	0302-001
Sabalan	Iran	4811	38.25	47.92	Holocene	0302-002
Damavand	Iran	5670	35.95	52.11	Holocene	0302-01-
Qal'eh Hasan Ali	Iran	0	29.4	57.57	Uncertain	0302-02-
Bazman	Iran	3490	28.07	60	Holocene	0302-03-
Unnamed	Iran	0	28.17	60.67	Uncertain	0302-04-
Taftan	Iran	4050	28.6	61.6	AD 1900-2005	0302-05-
Dacht-i-Navar Group	Afghanistan	3800	33.95	67.92	Holocene	0302-06-
Vakak Group	Afghanistan	3190	34.25	67.97	Holocene	0302-07-
Grille, La	Indian O.-W	1087	-11.47	43.33	Holocene	0303-001
Ambre-Bobaomby	Madagascar	1475	-12.48	49.1	Holocene	0303-011
Nosy-Be	Madagascar	214	-13.32	48.48	Holocene	0303-012
Ankaizina Field	Madagascar	2878	-14.3	48.67	Holocene	0303-013
Itasy Volc Field	Madagascar	1800	-19	46.77	Holocene	0303-014
Ankaratra Field	Madagascar	2644	-19.4	47.2	Holocene	0303-015
Karthala	Indian O.-W	2361	-11.75	43.38	AD 1900-2005	0303-01=
Fournaise, Piton de la	Indian O.-W	2631	-21.23	55.71	AD 1900-2005	0303-02=
Boomerang Seamount	Indian O.-S	-650	-37.72	77.83	AD 1900-2005	0304-00-
Amsterdam Island	Indian O.-S	881	-37.83	77.52	Holocene	0304-001
St. Paul	Indian O.-S	268	-38.72	77.53	AD 0-1899	0304-002
McDonald Islands	Indian O.-S	230	-53.03	72.6	AD 1900-2005	0304-011
Heard	Indian O.-S	2745	-53.11	73.51	AD 1900-2005	0304-01=
Kerguelen Islands	Indian O.-S	1840	-49.58	69.5	Holocene	0304-02=
Est, Ile de l'	Indian O.-S	1090	-46.43	52.2	Uncertain	0304-03-
Possession, Ile de la	Indian O.-S	934	-46.42	51.63	Holocene	0304-04-
Cochons, Ile aux	Indian O.-S	775	-46.1	50.23	Holocene	0304-05-
Prince Edward Island	Indian O.-S	672	-46.63	37.95	Holocene	0304-06-
Marion Island	Indian O.-S	1230	-46.9	37.75	AD 1900-2005	0304-07-
Unnamed	Indian O.-E	0	11.75	80.75	Uncertain	0305-01=
Whangarei	New Zealand	397	-35.75	174.27	Uncertain	0401-011
Kaikohe-Bay of Islands	New Zealand	388	-35.3	173.9	AD 0-1899	0401-01=
Mayor Island	New Zealand	355	-37.28	176.25	Holocene	0401-021
Auckland Field	New Zealand	260	-36.9	174.87	AD 0-1899	0401-02=
Egmont [Taranaki]	New Zealand	2518	-39.3	174.07	AD 0-1899	0401-03=
Whale Island	New Zealand	354	-37.86	176.98	Uncertain	0401-041
Rotorua	New Zealand	757	-38.08	176.27	Uncertain	0401-042
White Island	New Zealand	321	-37.52	177.18	AD 1900-2005	0401-04=
Okataina	New Zealand	1111	-38.12	176.5	AD 1900-2005	0401-05=
Reporoa	New Zealand	592	-38.42	176.33	AD 0-1899	0401-06-
Maroa	New Zealand	1156	-38.42	176.08	AD 0-1899	0401-061
Taupo	New Zealand	760	-38.82	176	AD 0-1899	0401-07=
Tongariro	New Zealand	1978	-39.13	175.64	AD 1900-2005	0401-08=
Ruapehu	New Zealand	2797	-39.28	175.57	AD 1900-2005	0401-10=
Rumble V	New Zealand	-700	-36.14	178.2	Holocene	0401-11-
Rumble IV	New Zealand	-450	-36.13	178.05	Holocene	0401-12-
Rumble III	New Zealand	-140	-35.75	178.48	AD 1900-2005	0401-13-
Healy	New Zealand	950	-34.98	179	AD 0-1899	0401-14-
Curtis Island	Kermadec Is	137	-30.54	-178.56	Uncertain	0402-01=
Macauley Island	Kermadec Is	238	-30.2	-178.47	Holocene	0402-021
Raoul Island	Kermadec Is	516	-29.27	-177.92	AD 1900-2005	0402-03=
Monowai Seamount	Kermadec Is	-100	-25.89	-177.19	AD 1900-2005	0402-05-
Unnamed	Tonga-SW Pacific	-500	-21.38	-175.65	AD 1900-2005	0403-01=
Unnamed	Tonga-SW Pacific	-13	-20.85	-175.53	AD 1900-2005	0403-03=
Hunga Tonga-Hunga Ha'apai	Tonga-SW Pacific	149	-20.57	-175.38	AD 1900-2005	0403-04=
Falcon Island	Tonga-SW Pacific	-17	-20.32	-175.42	AD 1900-2005	0403-05=
Kao	Tonga-SW Pacific	1030	-19.67	-175.03	Holocene	0403-061
Tofua	Tonga-SW Pacific	515	-19.75	-175.07	AD 1900-2005	0403-06=
Metis Shoal	Tonga-SW Pacific	43	-19.18	-174.87	AD 1900-2005	0403-07=
Home Reef	Tonga-SW Pacific	-2	-18.99	-174.78	AD 1900-2005	0403-08=
Unnamed	Tonga-SW Pacific	-300	-18.32	-174.37	AD 1900-2005	0403-091
Late	Tonga-SW Pacific	540	-18.81	-174.65	AD 0-1899	0403-09=
Tafahi	Tonga-SW Pacific	560	-15.85	-173.72	Uncertain	0403-101
Curacoa	Tonga-SW Pacific	-33	-15.62	-173.67	AD 1900-2005	0403-102
Fonualei	Tonga-SW Pacific	180	-18.02	-174.33	AD 1900-2005	0403-10=
Niuafo'ou	Tonga-SW Pacific	260	-15.6	-175.63	AD 1900-2005	0403-11=
Vailulu'u	Samoa-SW Pacific	-590	-14.22	-169.06	AD 1900-2005	0404-00-
Ta'u	Samoa-SW Pacific	931	-14.23	-169.45	Holocene	0404-001
Ofu-Olosega	Samoa-SW Pacific	639	-14.18	-169.62	AD 0-1899	0404-01=
Tutuila	Samoa-SW Pacific	653	-14.3	-170.7	Holocene	0404-02-
Upolu	Samoa-SW Pacific	1100	-13.94	-171.72	Holocene	0404-03-
Savai'i	Samoa-SW Pacific	1858	-13.61	-172.53	AD 1900-2005	0404-04=
Wallis Islands	SW Pacific	143	-13.3	-176.17	Holocene	0404-05-
Taveuni	Fiji Is-SW Pacific	1241	-16.82	-179.97	AD 0-1899	0405-01-
Koro	Fiji Is-SW Pacific	522	-17.32	179.4	Uncertain	0405-02-
St. Andrew Strait	Admiralty Is-SW Pacific	270	-2.38	147.35	AD 1900-2005	0500-01=
Baluan	Admiralty Is-SW Pacific	254	-2.57	147.28	Holocene	0500-02-
Unnamed	Admiralty Is-SW Pacific	-1300	-3.03	147.78	AD 1900-2005	0500-03-
Blup Blup	New Guinea-NE of	402	-3.51	144.62	Holocene	0501-001
Kadovar	New Guinea-NE of	365	-3.62	144.62	Holocene	0501-002
Boisa	New Guinea-NE of	240	-3.99	144.96	Holocene	0501-011
Bam	New Guinea-NE of	685	-3.6	144.85	AD 1900-2005	0501-01=
Manam	New Guinea-NE of	1807	-4.1	145.06	AD 1900-2005	0501-02=
Karkar	New Guinea-NE of	1839	-4.65	145.96	AD 1900-2005	0501-03=
Yomba	New Guinea-NE of	0	-4.92	146.75	Uncertain	0501-041
Unnamed	New Guinea-NE of	-2000	-4.31	146.26	Uncertain	0501-04=
Long Island	New Guinea-NE of	1280	-5.36	147.12	AD 1900-2005	0501-05=
Umboi	New Guinea-NE of	1548	-5.59	147.88	Holocene	0501-06=
Ritter Island	New Guinea-NE of	140	-5.52	148.12	AD 1900-2005	0501-07=
Sakar	New Guinea-NE of	992	-5.41	148.09	Uncertain	0501-08=
Unnamed	New Britain-SW Pac	0	-5.2	148.57	Uncertain	0502-001
Langila	New Britain-SW Pac	1330	-5.53	148.42	AD 1900-2005	0502-01=
Mundua	New Britain-SW Pac	179	-4.63	149.35	Holocene	0502-021
Narage	New Britain-SW Pac	307	-4.55	149.13	Uncertain	0502-02=
Garove	New Britain-SW Pac	368	-4.69	149.5	Holocene	0502-03=
Dakataua	New Britain-SW Pac	400	-5.06	150.11	AD 0-1899	0502-04=
Bola	New Britain-SW Pac	1155	-5.15	150.03	Holocene	0502-05=
Garua Harbour	New Britain-SW Pac	565	-5.27	150.09	Uncertain	0502-06=
Lolo	New Britain-SW Pac	805	-5.47	150.5	Uncertain	0502-071
Garbuna Group	New Britain-SW Pac	564	-5.45	150.03	Holocene	0502-07=
Pago	New Britain-SW Pac	742	-5.58	150.52	AD 1900-2005	0502-08=
Walo	New Britain-SW Pac	15	-5.53	150.9	Uncertain	0502-09=
Hargy	New Britain-SW Pac	1148	-5.33	151.1	AD 0-1899	0502-10=
Bamus	New Britain-SW Pac	2248	-5.2	151.23	AD 0-1899	0502-11=
Ulawun	New Britain-SW Pac	2334	-5.05	151.33	AD 1900-2005	0502-12=
Unnamed	New Britain-SW Pac	0	-4.75	150.85	Uncertain	0502-131
Lolobau	New Britain-SW Pac	858	-4.92	151.16	AD 1900-2005	0502-13=
Rabaul	New Britain-SW Pac	688	-4.27	152.2	AD 1900-2005	0502-14=
Doma Peaks	New Guinea	3568	-5.9	143.15	Uncertain	0503-00-
Crater Mountain	New Guinea	3233	-6.58	145.08	Uncertain	0503-001
Yelia	New Guinea	3384	-7.05	145.86	Uncertain	0503-002
Koranga	New Guinea	1500	-7.33	146.71	Holocene	0503-003
Madilogo	New Guinea	850	-9.2	147.57	Holocene	0503-004
Hydrographers Range	New Guinea	1915	-9	148.37	Holocene	0503-011
Lamington	New Guinea	1680	-8.95	148.15	AD 1900-2005	0503-01=
Managlase Plateau	New Guinea	1342	-9.08	148.33	Holocene	0503-021
Musa River	New Guinea	808	-9.31	148.13	Uncertain	0503-02=
Sessagara	New Guinea	370	-9.48	149.13	Holocene	0503-031
Victory	New Guinea	1925	-9.2	149.07	AD 1900-2005	0503-03=
Goodenough	D'Entrecasteaux Is	220	-9.48	150.35	Holocene	0503-041
Waiowa	New Guinea	640	-9.57	149.08	AD 1900-2005	0503-04=
Iamalele	D'Entrecasteaux Is	200	-9.52	150.53	Holocene	0503-05=
Dawson Strait Group	D'Entrecasteaux Is	500	-9.62	150.88	AD 0-1899	0503-06=
Lihir	New Ireland-SW Pacific	700	-3.13	152.64	Holocene	0504-01=
Ambitle	New Ireland-SW Pacific	450	-4.08	153.65	Holocene	0504-02=
Tore	Bougainville-SW Pacific	2200	-5.83	154.93	Holocene	0505-00-
Billy Mitchell	Bougainville-SW Pacific	1544	-6.09	155.23	AD 0-1899	0505-011
Balbi	Bougainville-SW Pacific	2715	-5.83	154.98	Holocene	0505-01=
Takuan Group	Bougainville-SW Pacific	2210	-6.44	155.61	Holocene	0505-021
Bagana	Bougainville-SW Pacific	1750	-6.14	155.2	AD 1900-2005	0505-02=
Loloru	Bougainville-SW Pacific	1887	-6.52	155.62	Holocene	0505-03=
Nonda	Solomon Is-SW Pacific	760	-7.67	156.6	Uncertain	0505-04=
Kana Keoki	Solomon Is-SW Pacific	-700	-8.75	157.03	Holocene	0505-052
Coleman Seamount	Solomon Is-SW Pacific	0	-8.83	157.17	Holocene	0505-053
Simbo	Solomon Is-SW Pacific	335	-8.29	156.52	Uncertain	0505-05=
Unnamed	Solomon Is-SW Pacific	-240	-8.92	158.03	Holocene	0505-061
Gallego	Solomon Is-SW Pacific	1000	-9.35	159.73	Uncertain	0505-062
Kavachi	Solomon Is-SW Pacific	-20	-9.02	157.95	AD 1900-2005	0505-06=
Savo	Solomon Is-SW Pacific	485	-9.13	159.82	AD 0-1899	0505-07=
Tinakula	Santa Cruz Is-SW Pacific	851	-10.38	165.8	AD 1900-2005	0506-01=
Motlav	Vanuatu-SW Pacific	411	-13.67	167.67	Holocene	0507-001
Suretamatai	Vanuatu-SW Pacific	921	-13.8	167.47	AD 1900-2005	0507-01=
Mere Lava	Vanuatu-SW Pacific	1028	-14.45	168.05	Holocene	0507-021
Gaua	Vanuatu-SW Pacific	797	-14.27	167.5	AD 1900-2005	0507-02=
Aoba	Vanuatu-SW Pacific	1496	-15.4	167.83	AD 1900-2005	0507-03=
Ambrym	Vanuatu-SW Pacific	1334	-16.25	168.12	AD 1900-2005	0507-04=
Lopevi	Vanuatu-SW Pacific	1413	-16.51	168.35	AD 1900-2005	0507-05=
Epi	Vanuatu-SW Pacific	833	-16.68	168.37	AD 1900-2005	0507-06=
Kuwae	Vanuatu-SW Pacific	-2	-16.83	168.54	AD 1900-2005	0507-07=
Unnamed	Vanuatu-SW Pacific	216	-16.99	168.59	Uncertain	0507-08-
North Vate	Vanuatu-SW Pacific	594	-17.45	168.33	Holocene	0507-081
Traitor's Head	Vanuatu-SW Pacific	837	-18.75	169.23	AD 0-1899	0507-09=
Yasur	Vanuatu-SW Pacific	361	-19.52	169.43	AD 1900-2005	0507-10=
Aneityum	Vanuatu-SW Pacific	852	-20.2	169.83	Uncertain	0507-11-
Eastern Gemini Seamount	SW Pacific	-80	-20.98	170.28	AD 1900-2005	0508-001
Matthew Island	SW Pacific	177	-22.33	171.32	AD 1900-2005	0508-01=
Hunter Island	SW Pacific	297	-22.4	172.05	AD 1900-2005	0508-02=
Unnamed	SW Pacific	-2400	-25.78	168.63	AD 1900-2005	0508-03-
Newer Volcanics Prov	Australia	1011	-37.77	142.5	Holocene	0509-01-
Narcondum	Andaman Is-Indian O	710	13.43	94.25	Holocene	0600-001
Barren Island	Andaman Is-Indian O	354	12.28	93.52	AD 1900-2005	0600-01=
